ID_ODONTOLOGO;ESTADO;NOMBRES;APELLIDOS;NRO_LICENCIA;EMAIL;TELEFONO;F_INICIO
425163789;0;Ana María;Gomez Pérez;567890;ana.gomez@example.com;3124567890;10/05/2018
132415123;1;Carlos Andrés;Rodríguez Suárez;567891;carlos.rodriguez@example.com;3102345678;15/03/2017
192817356;0;Luisa Fernanda;Martínez López;567892; luisa.martinez@example.com;3019876543;20/08/2019
102936153;1;Jorge Alberto;Ramírez Torres;567893; jorge.ramirez@example.com;3201112233;12/01/2020
102936409;0;Sofía Elena;Moreno Vargas;567894; sofia.moreno@example.com;3114445566;30/06/2021
103947182;1;María Camila;Fernandez Diaz;567895; camila.fernandez@example.com;3008889900;5/11/2022
102938475;1;Juan Esteban;García Leon;567896; juan.garcia@example.com;3131212121;1/04/2023
102947569;1;Daniela Isabel;Castaño Ríos;567897;daniela.castano@example.com;3043434343;17/09/2020
103245121;1;Andrés Felipe;Salazar Mejía;567898; andres.salazar@example.com;3025656565;25/12/2016
111092112;0;Paula Andrea;Ruiz Herrera;567899;paula.ruiz@example.com;3147878787;8/02/2015
